transaction_id,user_id,amount,hour,device_risk_score,ip_risk_score,transaction_type,merchant_category,country,is_fraud
62,71486,30.83,17,0.3659,0.3004,transfer,retail,RU,0
63,95142,35.13,7,0.1678,0.0705,transfer,grocery,CN,0
64,62901,48.82,22,0.1945,0.0623,purchase,electronics,DE,0
65,49306,222.89,7,0.1444,0.2369,purchase,grocery,DE,0
66,76653,17.71,11,0.2589,0.1054,purchase,gaming,NL,0
67,71686,41.23,7,0.7557,0.4127,withdrawal,travel,DE,0
68,52147,98.98,7,0.1996,0.0039,withdrawal,travel,GB,0
69,74404,59.47,12,0.9682,0.8877,withdrawal,retail,US,1
70,13165,17.4,22,0.3286,0.291,purchase,grocery,DE,0
71,95095,30.93,13,0.0837,0.2474,withdrawal,grocery,GB,0
72,45272,13.14,9,0.137,0.2204,purchase,grocery,DE,0
73,37026,94.65,17,0.2226,0.0905,purchase,retail,DE,0
74,29028,39.31,19,0.4274,0.1636,transfer,retail,DE,0
75,21506,260.02,13,0.4864,0.7286,purchase,electronics,NL,1
76,37767,20.64,20,0.1283,0.441,purchase,gaming,DE,0
77,11654,45.99,21,0.1044,0.5014,purchase,electronics,NL,0
78,30203,15.29,20,0.3534,0.1714,purchase,retail,DE,0
79,73382,17.66,14,0.1775,0.0215,refund,retail,DE,0
80,67070,12.29,10,0.1886,0.0919,purchase,electronics,GB,0
81,54131,17.17,20,0.8353,0.2115,purchase,travel,FR,0
82,93054,134.79,7,0.1634,0.0601,purchase,retail,NL,0
83,78487,22.8,8,0.233,0.0944,purchase,electronics,DE,0
84,23251,63.2,11,0.0303,0.2662,purchase,electronics,RU,0
85,60174,55.77,15,0.2916,0.4363,refund,gaming,RU,1
86,44956,20.89,9,0.0781,0.2897,purchase,retail,RU,0
87,53039,81.09,14,0.0807,0.2596,purchase,electronics,DE,0
88,35735,17.78,20,0.5059,0.0426,purchase,gaming,GB,0
89,98209,43.96,12,0.1347,0.4428,withdrawal,travel,GB,0
90,20376,44.47,13,0.1137,0.038,purchase,electronics,CN,0
91,19422,307.55,11,0.1705,0.1852,purchase,retail,US,0
92,45937,72.67,16,0.1617,0.6648,purchase,grocery,FR,0
93,87473,25.69,6,0.2914,0.1058,transfer,electronics,DE,0
94,81635,76.12,3,0.0916,0.3104,purchase,grocery,CN,0
95,42281,261.77,14,0.1602,0.2465,purchase,grocery,FR,0
96,34751,10.64,13,0.044,0.2397,purchase,grocery,FR,0
97,39206,110.28,11,0.2064,0.1821,purchase,travel,DE,0
98,33401,34.77,10,0.1906,0.2567,purchase,electronics,DE,0
99,62884,29.83,4,0.0695,0.1631,purchase,electronics,DE,0
100,93518,32.05,15,0.1431,0.2241,transfer,travel,DE,0
101,64145,14.03,11,0.3843,0.2716,transfer,crypto,DE,0
102,68178,140.24,11,0.0657,0.3848,transfer,grocery,FR,0
103,40505,12.69,20,0.267,0.2763,purchase,grocery,GB,0
104,35503,35.87,16,0.2226,0.103,transfer,grocery,NL,0
105,19614,103.44,8,0.492,0.1609,purchase,retail,US,0
106,12851,73.17,4,0.6997,0.7006,purchase,gaming,GB,1
107,49700,41.44,15,0.1752,0.2269,withdrawal,retail,DE,0
108,99187,18.5,7,0.0346,0.0868,purchase,retail,GB,0
109,79219,13.51,8,0.3604,0.0465,purchase,grocery,DE,0
110,97840,34.97,16,0.2485,0.1389,purchase,crypto,DE,0
111,36341,22.34,7,0.2932,0.1257,purchase,electronics,FR,0
112,70203,50.63,9,0.1416,0.0585,purchase,gaming,CN,0
113,64086,12.92,20,0.0829,0.0997,withdrawal,retail,DE,0
114,21248,84.87,16,0.518,0.0037,purchase,retail,DE,0
115,12095,46.91,21,0.1383,0.0842,transfer,retail,DE,0
116,75136,49.97,19,0.7141,0.2214,purchase,grocery,FR,0
117,32641,144.74,10,0.1274,0.1242,purchase,retail,DE,0
118,50758,29.31,14,0.2213,0.1105,purchase,retail,DE,0
119,82038,22.94,10,0.1954,0.6163,purchase,retail,FR,0
120,14215,26.69,15,0.4029,0.3407,purchase,electronics,FR,0
121,25271,36.1,10,0.0683,0.1923,purchase,crypto,NL,0
122,21834,195.79,0,0.0764,0.2144,transfer,retail,US,0
123,64359,20.99,6,0.2797,0.1559,purchase,retail,RU,0
124,13734,7.62,17,0.4163,0.2703,purchase,retail,DE,0
125,71335,230.64,0,0.4552,0.4541,withdrawal,gaming,GB,1
126,20347,26.4,6,0.1641,0.3428,purchase,travel,DE,0
127,58969,57.73,14,0.222,0.1107,refund,grocery,RU,0
128,59916,47.74,19,0.3785,0.1222,purchase,retail,NL,0
129,79704,117.87,16,0.0755,0.1588,purchase,retail,FR,0
130,76220,224.12,11,0.5581,0.2655,withdrawal,grocery,FR,0
131,49641,81.08,8,0.4428,0.0445,purchase,retail,US,0
132,98049,137.71,20,0.4254,0.208,withdrawal,travel,US,0
133,32323,81.59,13,0.0419,0.03,refund,electronics,DE,0
134,98585,181.89,11,0.1667,0.314,purchase,crypto,DE,0
135,98961,205.04,21,0.1382,0.4114,purchase,retail,GB,0
136,83126,182.31,21,0.3908,0.3586,withdrawal,electronics,CN,1
137,58456,95.44,8,0.0115,0.0367,refund,electronics,DE,0
138,14403,77.51,11,0.025,0.1274,purchase,grocery,US,0
139,50597,35.71,6,0.0574,0.1232,purchase,retail,DE,0
140,50708,41.05,7,0.1199,0.0419,purchase,retail,FR,0
141,45476,31.91,11,0.385,0.2287,transfer,grocery,GB,0
142,14417,226.03,22,0.654,0.4164,purchase,gaming,CN,1
143,92689,72.1,15,0.449,0.5934,purchase,electronics,CN,0
144,67320,23.05,10,0.0061,0.0353,withdrawal,gaming,NL,0
145,14597,36.15,15,0.3772,0.0731,purchase,grocery,FR,0
146,24075,5.74,18,0.0387,0.013,purchase,electronics,GB,0
147,83142,183.94,19,0.1111,0.0228,purchase,retail,US,0
148,69126,153.49,3,0.3036,0.1395,purchase,electronics,DE,0
149,25412,62.63,17,0.0728,0.0041,withdrawal,retail,NL,0
150,32775,6.15,10,0.6474,0.5365,purchase,electronics,US,1
151,21105,146.81,7,0.0324,0.3663,purchase,grocery,GB,0
152,68687,262.14,15,0.0648,0.0708,purchase,electronics,CN,0
153,16058,145.14,10,0.1338,0.167,purchase,grocery,FR,0
154,75792,14.8,16,0.2758,0.2672,transfer,retail,US,0
155,44420,326.28,8,0.7592,0.5165,purchase,crypto,NL,0
156,35956,107.13,14,0.0666,0.0775,withdrawal,retail,DE,0
157,45106,50.8,7,0.3363,0.4589,purchase,retail,RU,0
158,99247,142.78,8,0.1989,0.5247,withdrawal,grocery,DE,0
159,48338,15.75,14,0.023,0.4008,purchase,travel,US,0
160,30725,33.27,10,0.1838,0.1112,withdrawal,grocery,FR,0
161,97699,746.34,16,0.2942,0.0731,withdrawal,gaming,NL,0
162,18773,8.7,15,0.2838,0.0939,purchase,retail,US,0
163,34769,68.47,14,0.3918,0.1608,purchase,grocery,CN,0
164,62560,444.45,0,0.1739,0.5672,transfer,retail,CN,1
165,60887,66.84,16,0.2035,0.2027,refund,retail,US,0
166,46996,226.75,17,0.5447,0.6561,purchase,retail,FR,0
167,41062,11.07,20,0.0933,0.0914,transfer,retail,GB,0
168,84724,167.03,6,0.2441,0.161,purchase,retail,GB,0
169,15306,26.43,13,0.2622,0.0451,purchase,travel,DE,0
170,56437,29.08,16,0.4531,0.463,purchase,electronics,DE,0
171,71476,15.05,8,0.0959,0.23,purchase,electronics,US,0
172,32966,99.46,9,0.042,0.3049,purchase,travel,FR,0
173,80869,59.92,9,0.2604,0.0206,transfer,grocery,DE,0
174,57186,16.52,13,0.0406,0.0353,purchase,retail,US,0
175,48305,79.78,10,0.3301,0.3449,purchase,retail,FR,0
176,87713,156.74,14,0.5781,0.4185,transfer,electronics,CN,1
177,19648,24.2,15,0.1383,0.4164,purchase,grocery,US,0
178,31312,15.16,14,0.0701,0.4108,purchase,travel,DE,0
179,83275,27.15,15,0.4663,0.1494,purchase,grocery,US,0
180,20899,56.61,9,0.1814,0.5362,transfer,electronics,FR,0
181,12293,33.59,17,0.2999,0.1543,transfer,retail,DE,0
182,88574,43.78,15,0.0308,0.1289,purchase,retail,DE,0
183,10812,76.84,7,0.5919,0.0727,purchase,crypto,NL,0
184,87552,106.7,8,0.1326,0.32,purchase,retail,DE,0
185,82200,32.67,9,0.1036,0.1907,refund,crypto,NL,0
186,86538,17.5,21,0.1763,0.4402,purchase,retail,FR,0
187,14626,45.36,10,0.508,0.1538,withdrawal,retail,NL,0
188,34670,63.44,1,0.1706,0.0733,purchase,grocery,DE,0
189,26644,12.29,7,0.3788,0.4121,refund,retail,DE,0
190,81647,19.95,2,0.0195,0.0049,purchase,gaming,NL,0
191,34171,887.49,4,0.596,0.6052,transfer,electronics,US,1
192,33129,23.07,11,0.0152,0.0436,purchase,grocery,FR,0
193,62745,35.64,17,0.3593,0.0517,purchase,grocery,DE,0
194,65868,22.27,11,0.1081,0.0632,purchase,grocery,NL,0
195,54773,77.55,18,0.9198,0.7308,purchase,retail,DE,0
196,20911,10.87,3,0.5778,0.0849,refund,travel,DE,0
197,47590,11.1,12,0.1481,0.4158,purchase,retail,US,0
198,47752,32.01,17,0.3488,0.0949,purchase,travel,DE,0
199,56863,40.72,2,0.8362,0.1587,purchase,electronics,US,1
200,91665,201.41,15,0.1078,0.4265,purchase,grocery,FR,0
201,42327,12.35,19,0.2106,0.0954,purchase,electronics,DE,0
202,11793,25.39,9,0.0292,0.2749,purchase,grocery,FR,0
203,19316,30.24,12,0.406,0.1935,purchase,gaming,CN,0
204,23837,30.44,15,0.3943,0.1694,purchase,retail,FR,0
205,88186,16.03,2,0.5509,0.4705,purchase,retail,DE,1
206,67526,48.38,8,0.4126,0.1156,purchase,electronics,US,0
207,36444,24.23,18,0.0339,0.1582,purchase,grocery,FR,0
208,81544,149.33,10,0.3155,0.0213,purchase,retail,DE,0
209,98024,64.39,6,0.3706,0.0514,purchase,retail,FR,0
210,49335,21.41,17,0.0715,0.403,purchase,electronics,DE,0
211,80708,46.08,16,0.2722,0.3439,purchase,grocery,FR,0
212,78622,47.25,19,0.2491,0.2604,purchase,retail,DE,0
213,34022,119.4,19,0.0026,0.2899,withdrawal,travel,DE,0
214,97592,25.53,9,0.0801,0.2508,purchase,retail,DE,0
215,94564,81.63,14,0.1609,0.1711,purchase,retail,FR,0
216,72592,44.06,23,0.0603,0.1841,transfer,retail,US,0
217,97366,151.08,9,0.0169,0.0154,purchase,grocery,GB,0
218,49857,450.93,12,0.1927,0.1294,purchase,gaming,DE,0
219,73187,50.27,20,0.0244,0.1174,purchase,electronics,GB,0
220,66715,34.02,6,0.0879,0.2839,purchase,grocery,DE,0
221,63875,65.41,20,0.566,0.1181,purchase,retail,DE,0
222,37586,36.47,12,0.0169,0.2431,transfer,electronics,GB,0
223,41730,177.37,20,0.26,0.0782,purchase,electronics,FR,0
224,18607,45.45,14,0.0883,0.0032,purchase,retail,DE,0
225,54741,30.12,15,0.0877,0.0682,purchase,gaming,DE,0
226,23061,28.77,17,0.2338,0.0968,transfer,gaming,FR,0
227,55120,86.22,2,0.7022,0.6843,transfer,crypto,CN,1
228,49382,15.16,5,0.0962,0.0853,purchase,grocery,NL,0
229,22058,68.24,14,0.1523,0.0382,purchase,gaming,NL,0
230,35494,21.18,20,0.4157,0.1922,purchase,travel,DE,0
231,89863,108.14,21,0.5345,0.2842,purchase,gaming,DE,0
232,14016,14.17,22,0.2403,0.2235,transfer,grocery,FR,0
233,29076,222.67,14,0.2354,0.0851,purchase,grocery,US,0
234,44011,113.03,14,0.1368,0.116,purchase,grocery,GB,0
235,76143,6.82,13,0.1033,0.0416,withdrawal,retail,DE,0
236,86705,236.4,14,0.6886,0.6432,withdrawal,grocery,DE,0
237,79685,29.62,14,0.0352,0.1751,transfer,grocery,DE,0
238,17314,47.94,3,0.116,0.1745,purchase,retail,US,0
239,43398,65.92,5,0.4289,0.4438,purchase,crypto,RU,1
240,91182,69.11,6,0.0417,0.7523,purchase,gaming,RU,0
241,76147,78.82,14,0.1575,0.0833,refund,retail,DE,0
242,24339,53.67,10,0.1844,0.0998,purchase,gaming,FR,0
243,46287,99.26,9,0.0685,0.0745,purchase,grocery,DE,0
244,51306,66.1,8,0.112,0.097,purchase,grocery,DE,0
245,29215,927.13,17,0.0818,0.0825,purchase,electronics,FR,0
246,90202,66.29,22,0.2833,0.3649,purchase,grocery,GB,0
247,76725,225.87,14,0.3038,0.2427,purchase,retail,NL,0
248,16952,91.46,21,0.0797,0.3587,purchase,retail,FR,0
249,30309,9.16,19,0.1362,0.0206,purchase,travel,GB,0
250,62647,391.29,8,0.2226,0.276,withdrawal,electronics,FR,0
251,74877,26.1,7,0.0269,0.5268,purchase,grocery,NL,0
252,77676,151.59,8,0.2567,0.1267,withdrawal,retail,DE,0
253,94688,43.5,6,0.8507,0.5909,purchase,gaming,DE,0
254,61858,104.79,13,0.0266,0.0297,withdrawal,travel,NL,0
255,26963,23.68,9,0.1426,0.0313,withdrawal,grocery,CN,0
256,13681,72.38,20,0.3635,0.2168,purchase,electronics,DE,0
257,16056,34.29,14,0.1527,0.2589,purchase,grocery,GB,0
258,59133,162.74,10,0.11,0.0577,purchase,electronics,FR,0
259,67047,159.33,4,0.15,0.6979,transfer,retail,NL,1
260,23291,61.74,23,0.4051,0.0414,purchase,grocery,GB,0
261,45648,615.64,21,0.0805,0.2328,purchase,retail,DE,0
262,46438,6.76,17,0.0918,0.301,purchase,retail,NL,0
263,40611,39.54,17,0.05,0.1799,withdrawal,gaming,FR,0
264,30174,60.28,22,0.2577,0.2424,purchase,electronics,DE,0
265,37474,239.86,14,0.398,0.0947,purchase,retail,DE,0
266,78077,96.25,19,0.8297,0.4713,withdrawal,retail,FR,0
267,71493,31.16,5,0.137,0.041,purchase,retail,DE,0
268,82646,44.32,13,0.0593,0.2018,withdrawal,retail,CN,0
269,90292,116.05,12,0.2037,0.116,purchase,travel,GB,0
270,28590,237.74,20,0.2557,0.8279,transfer,crypto,FR,1
271,43359,78.81,11,0.8308,0.882,withdrawal,crypto,RU,1
272,67708,6.13,2,0.0771,0.0357,purchase,travel,DE,0
273,60051,68.12,8,0.6629,0.4606,refund,crypto,GB,1
274,82651,70.17,6,0.4292,0.1315,purchase,retail,DE,0
275,93906,32.01,1,0.1097,0.1814,purchase,grocery,DE,0
276,49227,19.58,9,0.1542,0.169,purchase,grocery,NL,0
277,67597,172.06,4,0.3116,0.258,purchase,retail,NL,0
278,92539,120.7,11,0.1471,0.2519,purchase,electronics,DE,0
279,58205,102.85,18,0.393,0.2129,withdrawal,travel,DE,0
280,29619,37.91,14,0.153,0.1098,purchase,electronics,FR,0
281,82056,140.69,2,0.138,0.2284,transfer,crypto,CN,1
282,21376,89.51,15,0.3939,0.0253,purchase,travel,DE,0
283,71980,88.93,2,0.2399,0.0733,purchase,gaming,DE,0
284,23780,39.48,18,0.3018,0.0444,purchase,travel,US,0
285,34067,23.59,7,0.5752,0.1032,purchase,electronics,RU,0
286,92151,24.78,9,0.0309,0.1089,purchase,grocery,GB,0
287,29603,67.12,21,0.6685,0.6316,transfer,gaming,US,1
288,65819,86.68,12,0.081,0.1952,transfer,retail,DE,0
289,54790,41.02,21,0.6216,0.8353,purchase,retail,CN,0
290,20503,17.47,23,0.2426,0.1764,purchase,grocery,FR,0
291,64688,10.15,17,0.2544,0.1993,purchase,electronics,DE,0
292,45009,61.99,0,0.3859,0.0939,transfer,retail,US,1
293,96324,229.36,3,0.3687,0.2521,transfer,grocery,NL,1
294,37571,86.23,16,0.0226,0.1344,purchase,travel,GB,0
295,63804,26.72,12,0.0619,0.1704,refund,retail,DE,0
296,88928,192.67,15,0.2226,0.3279,purchase,retail,DE,0
297,52629,668.99,7,0.3035,0.3168,purchase,grocery,GB,0
298,41909,13.98,9,0.2916,0.1893,purchase,grocery,DE,0
299,44978,40.92,23,0.1053,0.1975,purchase,travel,FR,0
300,17702,36.78,22,0.0298,0.0783,transfer,retail,FR,0
301,77724,283.38,15,0.1175,0.017,withdrawal,retail,CN,1
302,10987,58.72,10,0.2031,0.1468,purchase,grocery,RU,0
303,80785,121.91,9,0.0808,0.2273,purchase,grocery,DE,0
304,61410,13.74,8,0.2904,0.4448,purchase,crypto,DE,0
305,10687,239.79,17,0.6774,0.7716,purchase,electronics,US,1
306,23591,69.02,12,0.0271,0.0457,transfer,gaming,FR,0
307,18242,102.19,8,0.6298,0.236,purchase,grocery,FR,0
308,99342,36.29,15,0.0413,0.6029,purchase,grocery,FR,0
309,17067,37.83,5,0.1198,0.1545,purchase,gaming,US,0
310,91605,60.68,6,0.0192,0.2905,purchase,electronics,GB,0
311,12151,57.0,9,0.3174,0.3015,purchase,electronics,US,0
312,56778,69.76,17,0.2005,0.1445,transfer,travel,FR,0
313,61186,68.52,10,0.1027,0.2032,purchase,electronics,GB,0
314,72947,18.45,12,0.1595,0.0703,purchase,travel,RU,0
315,50916,98.66,15,0.1482,0.4053,purchase,electronics,DE,0
316,27885,114.64,17,0.1121,0.3223,purchase,electronics,FR,0
317,34223,49.81,9,0.0801,0.3994,purchase,travel,NL,0
318,11823,11.94,16,0.3461,0.2351,purchase,gaming,NL,0
319,85284,152.06,9,0.0181,0.2005,purchase,gaming,FR,0
320,12373,50.16,14,0.1662,0.0996,purchase,grocery,US,0
321,65570,16.07,11,0.0385,0.155,purchase,crypto,DE,0
322,61014,31.31,20,0.6555,0.1471,purchase,grocery,RU,0
323,36966,12.83,22,0.1669,0.1657,purchase,retail,GB,0
324,25279,72.98,20,0.6541,0.5564,purchase,grocery,US,1
325,63181,71.25,17,0.2619,0.1013,purchase,retail,DE,0
326,74328,48.96,20,0.03,0.0688,transfer,retail,DE,0
327,52689,10.5,7,0.1611,0.3983,purchase,grocery,GB,0
328,73184,313.75,15,0.0597,0.1672,purchase,crypto,DE,0
329,65302,40.53,8,0.2651,0.2218,purchase,retail,FR,0
330,96605,65.95,9,0.0222,0.2228,purchase,gaming,NL,0
331,34917,30.48,12,0.5969,0.0561,purchase,retail,RU,0
332,79463,21.51,16,0.159,0.308,purchase,retail,DE,0
333,44241,22.08,16,0.0217,0.2868,transfer,retail,GB,0
334,60724,26.91,19,0.1195,0.3058,purchase,grocery,CN,0
335,53618,253.67,13,0.1407,0.4949,purchase,crypto,FR,0
336,41113,48.22,20,0.2429,0.2469,purchase,retail,DE,0
337,71599,277.23,19,0.3151,0.0314,purchase,grocery,DE,0
338,96191,11.21,8,0.8499,0.3485,transfer,retail,US,1
339,49293,29.67,18,0.3509,0.318,purchase,electronics,FR,0
340,26793,31.54,8,0.1707,0.0985,transfer,grocery,DE,0
341,50153,358.37,13,0.1239,0.3965,purchase,grocery,DE,0
342,27974,22.08,16,0.0707,0.0809,purchase,grocery,FR,0
343,56602,26.46,22,0.2838,0.1114,purchase,electronics,FR,0
344,66747,699.09,0,0.1855,0.242,transfer,grocery,DE,0
345,52336,60.82,10,0.1785,0.0626,purchase,travel,FR,0
346,98814,13.16,10,0.1066,0.5591,purchase,electronics,NL,0
347,32043,87.03,9,0.5647,0.0723,transfer,retail,FR,0
348,17467,19.62,18,0.6078,0.4521,purchase,electronics,GB,0
349,72874,578.09,3,0.1482,0.3331,purchase,gaming,DE,0
350,99089,35.54,10,0.422,0.3002,purchase,retail,DE,0
351,14552,29.26,16,0.1679,0.215,transfer,retail,FR,0
352,45321,166.97,11,0.3003,0.1153,purchase,travel,US,0
353,60476,68.82,7,0.4577,0.8065,purchase,travel,NL,0
354,67509,97.23,14,0.2022,0.0171,purchase,grocery,DE,0
355,88561,61.54,12,0.8255,0.5625,purchase,gaming,DE,0
356,71593,29.14,22,0.0825,0.0399,purchase,retail,FR,0
357,91407,71.5,16,0.0554,0.1872,purchase,retail,CN,0
358,60132,118.85,23,0.2153,0.1073,withdrawal,retail,NL,0
359,29262,47.68,8,0.6505,0.8979,purchase,electronics,FR,0
360,92623,196.64,17,0.4291,0.8314,purchase,retail,DE,0
361,44287,87.61,13,0.158,0.2025,purchase,travel,DE,0
362,39080,74.38,5,0.4697,0.4883,purchase,electronics,RU,1
363,71248,50.92,16,0.0691,0.3953,purchase,gaming,GB,0
364,76182,52.66,12,0.0973,0.4152,purchase,retail,DE,0
365,72948,47.78,8,0.0509,0.0377,refund,retail,DE,0
366,58905,14.68,3,0.3359,0.2057,purchase,gaming,DE,0
367,72781,39.39,18,0.1544,0.0549,purchase,retail,US,0
368,79016,51.32,18,0.0328,0.0381,refund,grocery,DE,0
369,29013,29.85,7,0.4325,0.3136,purchase,travel,DE,0
370,87856,56.66,14,0.1654,0.1782,purchase,electronics,DE,0
371,59448,43.3,16,0.0576,0.3205,purchase,retail,GB,0
372,45198,82.08,13,0.3333,0.0166,purchase,gaming,FR,0
373,42332,74.71,10,0.6237,0.1024,purchase,electronics,GB,0
374,10949,49.01,19,0.7329,0.5756,purchase,retail,NL,0
375,52561,13.3,14,0.3171,0.1513,purchase,retail,DE,0
376,80881,194.83,16,0.2809,0.2051,purchase,travel,US,0
377,94338,41.68,4,0.5668,0.6014,withdrawal,travel,RU,1
378,21999,37.69,15,0.2359,0.023,purchase,grocery,DE,0
379,73862,75.7,13,0.5098,0.6003,purchase,grocery,DE,1
380,35279,39.7,16,0.2408,0.181,purchase,grocery,GB,0
381,19399,31.78,7,0.0779,0.0234,withdrawal,retail,FR,0
382,61741,28.07,20,0.6565,0.3731,withdrawal,electronics,DE,0
383,13298,157.98,9,0.0392,0.1821,purchase,retail,FR,0
384,26916,138.12,18,0.0613,0.0871,purchase,grocery,NL,0
385,32864,62.04,20,0.2658,0.5422,purchase,electronics,DE,0
386,86968,45.26,5,0.4115,0.4716,purchase,gaming,NL,1
387,24394,38.81,15,0.144,0.3139,purchase,crypto,NL,0
388,35435,71.97,14,0.5282,0.1612,purchase,retail,FR,0
389,97319,45.27,6,0.0608,0.1955,purchase,travel,GB,0
390,39676,36.17,11,0.1118,0.0712,purchase,retail,DE,0
391,35409,56.68,14,0.7106,0.4513,purchase,retail,DE,0
392,75083,29.22,6,0.3776,0.0833,transfer,retail,FR,0
393,14082,52.69,7,0.0692,0.066,purchase,electronics,GB,0
394,20428,50.58,23,0.3894,0.174,purchase,grocery,DE,0
395,44236,83.96,5,0.3207,0.8494,purchase,electronics,DE,1
396,69394,70.99,10,0.2882,0.1891,purchase,gaming,DE,0
397,11445,25.12,10,0.5042,0.3421,purchase,retail,US,0
398,12463,77.76,9,0.1071,0.3903,purchase,travel,DE,0
399,13832,19.68,14,0.2061,0.1127,transfer,grocery,GB,0
400,72035,26.14,12,0.2779,0.0125,purchase,travel,GB,0
401,74970,27.12,17,0.3584,0.3927,purchase,crypto,DE,0
402,45738,17.09,12,0.308,0.2897,purchase,crypto,FR,0
403,20918,100.82,0,0.0881,0.2633,purchase,electronics,FR,0
404,78747,18.66,12,0.4368,0.5932,purchase,retail,GB,0
405,74205,23.47,4,0.1289,0.1208,transfer,electronics,US,0
406,14630,123.61,18,0.3189,0.2593,purchase,crypto,FR,0
407,75845,26.18,7,0.1571,0.0375,withdrawal,grocery,DE,0
408,91865,36.24,8,0.2956,0.3558,transfer,grocery,DE,0
409,70024,17.99,11,0.5125,0.6865,purchase,grocery,DE,0
410,41282,86.32,8,0.2623,0.0264,purchase,travel,DE,0
411,29907,87.33,13,0.5267,0.1499,purchase,retail,US,0
412,45020,79.69,12,0.0398,0.282,purchase,retail,DE,0
413,40384,67.15,21,0.1567,0.2735,purchase,retail,DE,0
414,25466,45.27,6,0.0974,0.1214,transfer,travel,DE,0
415,95449,31.9,0,0.5505,0.5392,transfer,electronics,RU,1
